problem,n_obj,n_preferences,chains_per_preference,cond_hv,cond_igd,cond_diversity,cond_acceptance,cond_front_size,psl_hv,psl_igd,psl_diversity,psl_front_size,cond_wins_hv,cond_wins_igd
f1,2,200,3,0.8741448748630692,0.0020353355178916403,0.42273260626152676,0.8684458333333334,197,0.8732198938816809,0.0020691217894487166,0.43633419756972125,200,True,True
f2,2,200,3,0.8738738940015933,0.0022615662231034853,0.4251613408034912,0.86880625,196,0.8735769524989316,0.0020405467334001785,0.43895092148101944,200,True,False
f3,2,200,3,0.874211543762909,0.001965070315991164,0.43112677358690127,0.8244708333333334,200,0.8685535595259093,0.003896597039657536,0.43976565610073876,200,True,True
f4,2,200,3,0.5394665060677732,0.005704302278848293,0.50060000916593,0.8736208333333333,170,0.5398363792903156,0.0021607120158615273,0.5268005015037401,188,False,False
f5,2,200,3,0.5396977762731754,0.0035733199674506037,0.5230889695186394,0.8768125,184,0.5402685035755267,0.0021305574054749274,0.5507669242926312,200,False,False
f6,2,200,3,0.5405819720131553,0.002738844890255061,0.5317721963203684,0.8049729166666667,190,0.538616731445768,0.002366840611247629,0.5414326247940557,194,True,False
re21,2,200,3,0.8860074346613269,0.0026618597863904444,0.421426243494812,0.94983125,196,0.8851473606046756,0.002338482218097522,0.43663081072549753,200,True,False
re24,2,200,3,1.169938643404019,0.03700186193595008,0.17851334747945227,0.972725,199,1.1640065144658016,0.16562369671911017,0.1764619002682696,200,True,True
re33,3,210,2,1.0030761641292079,1407844.8225939623,0.7544014111348695,0.9126160714285714,188,0.9748779534293834,1407845.484150192,0.44254005961748283,944,True,True
re36,3,210,2,1.01693648595436,0.023564083650938573,0.41369869563269585,0.7214226190476191,164,1.0181170299648388,0.05347110880661993,0.41978805493817895,666,False,True
re37,3,210,2,0.8256483967846437,0.04658944201518132,0.545851307751942,0.9874940476190476,205,0.8398002533269485,0.05538200665979456,0.5108780346262959,985,False,True
